Trades Summary,,,,,,,,
,,,Risk to Reward Ratio,,,,,
Trades,Date,Time,1.2,1.5,2,2.5,3,Symblos
1,2019-09-14,02.00 AM,hit,hit,hit,hit,miss,BTC
2,2019-09-17,11.30 PM,hit,hit,hit,hit,hit,BTC
3,2019-09-24,5.30 AM,miss,miss,miss,miss,miss,BTC
4,2019-09-28,04.15 AM,hit,miss,miss,miss,miss,BTC
5,2019-09-30,1.30 PM,hit,hit,hit,hit,hit,BTC
6,2019-10-05,07.15 PM,hit,hit,hit,miss,miss,BTC
7,2019-10-06,4.30 PM,miss,miss,miss,miss,miss,BTC
8,2019-10-15,06.15 PM,miss,miss,miss,miss,miss,BTC
9,2019-11-01,06.45 PM,miss,miss,miss,miss,miss,BTC
10,2019-11-03,9.30 AM,hit,hit,miss,miss,miss,BTC
11,2019-11-09,11.00 PM,hit,hit,hit,hit,hit,BTC
12,2019-11-14,6.30 PM,miss,miss,miss,miss,miss,BTC
13,2019-11-23,10.30 PM,hit,hit,hit,hit,hit,BTC
14,2019-11-29,01.30 AM,hit,hit,hit,hit,miss,BTC
15,2019-12-02,5.00 AM,hit,hit,miss,miss,miss,ETH
16,2019-12-03,6.45AM,hit,hit,hit,hit,hit,ETH
17,2019-12-04,1.30 PM,hit,hit,hit,hit,hit,BTC
18,2019-12-16,11.45 PM,hit,hit,hit,hit,hit,BTC
19,2019-12-21,05.15 PM,miss,miss,miss,miss,miss,BTC
20,2019-12-26,11.30 AM,hit,hit,hit,hit,hit,BTC
21,2019-12-27,9.30 AM,miss,miss,miss,miss,miss,BTC
22,2019-12-27,06.15 PM,hit,hit,hit,hit,hit,BTC
23,2019-12-30,1.30 AM,miss,miss,miss,miss,miss,BTC
24,2020-01-01,10.15 AM,hit,hit,miss,miss,miss,BTC
25,2020-01-07,7.15 PM,miss,miss,miss,miss,miss,ETH
26,2020-01-08,10.00 PM,miss,miss,miss,miss,miss,BTC
27,2020-01-13,02.15 PM,miss,miss,miss,miss,miss,BTC
28,2020-01-15,08.30 PM,hit,hit,hit,miss,miss,BTC
29,2020-01-16,09.45 AM,hit,hit,hit,hit,hit,BTC
30,2020-01-17,5.30 PM,miss,miss,miss,miss,miss,BTC
31,2020-01-20,7.00 PM,hit,hit,hit,miss,miss,ETH
32,2020-01-24,4.45 PM,hit,hit,hit,hit,hit,ETH
33,2020-01-31,11.45 AM,miss,miss,miss,miss,miss,BTC
34,2020-02-03,06.00 AM,hit,hit,hit,hit,hit,BTC
35,2020-02-04,8.30 PM,hit,hit,hit,hit,hit,BTC
36,2020-02-05,12.15 PM,miss,miss,miss,miss,miss,BTC
37,2020-02-08,9.15 AM,hit,hit,hit,hit,hit,ETH
38,2020-02-10,5.30 PM,hit,hit,hit,hit,hit,LTC
39,2020-02-11,08.00 PM,miss,miss,miss,miss,miss,BTC
40,2020-02-13,01.30 PM,miss,miss,miss,miss,miss,BTC
41,2020-02-13,3.00 PM,hit,hit,hit,hit,miss,ETH
42,2020-02-16,7.30 AM,miss,miss,miss,miss,miss,LTC
43,2020-02-18,11.00 AM,hit,hit,hit,hit,miss,BTC
44,2020-02-24,06.15 AM,hit,hit,hit,hit,hit,BTC
45,2020-02-27,10.30 PM,hit,hit,hit,hit,hit,BTC
46,2020-03-03,5.30 AM,hit,miss,miss,miss,miss,BTC
47,2020-03-06,6.30 AM,hit,hit,hit,hit,hit,ETH
48,2020-03-07,10.30 PM,hit,hit,hit,hit,hit,ETH
49,2020-03-08,3.30 AM,miss,miss,miss,miss,miss,BTC
50,2020-03-09,9.15 AM,miss,miss,miss,miss,miss,ETH
51,2020-03-15,6.00 AM,hit,hit,hit,miss,miss,ETH
52,2020-03-15,04.45 PM,miss,miss,miss,miss,miss,BTC
53,2020-03-19,1.30 AM,hit,hit,hit,hit,hit,LTC
54,2020-03-23,3.30 PM,hit,hit,hit,hit,hit,BTC
55,2020-03-27,10.30 AM,hit,hit,hit,hit,miss,LTC
56,2020-03-30,2.00 AM,hit,hit,hit,hit,hit,ETH
57,2020-04-03,10.00 PM,hit,hit,hit,hit,hit,BTC
58,2020-04-04,6.00 PM,miss,miss,miss,miss,miss,ETH
59,2020-04-08,02.30 AM,hit,hit,hit,hit,miss,BTC
60,2020-04-09,06.15 PM,miss,miss,miss,miss,miss,BTC
61,2020-04-12,12.15 AM,hit,hit,hit,hit,hit,BTC
62,2020-04-16,6.30 AM,hit,hit,hit,hit,hit,BTC
63,2020-04-28,2.30 AM,hit,hit,hit,hit,hit,LTC
64,2020-05-02,11.30 PM,miss,miss,miss,miss,miss,LTC
65,2020-05-03,7.00 AM,hit,hit,hit,hit,hit,ETH
66,2020-05-04,2.30 AM,miss,miss,miss,miss,miss,LTC
67,2020-05-05,4.45 AM,miss,miss,miss,miss,miss,ETH
68,2020-05-21,1.30 AM,miss,miss,miss,miss,miss,LTC
69,2020-05-21,5.30 AM,miss,miss,miss,miss,miss,BTC
70,2020-05-26,05.45 PM,hit,miss,miss,miss,miss,BTC
71,2020-05-30,09.30 AM,hit,hit,hit,hit,miss,BTC
72,2020-05-30,12.30 PM,miss,miss,miss,miss,miss,LTC
73,2020-05-31,03.15 AM,hit,hit,hit,hit,hit,BTC
74,2020-05-31,09.45 PM,miss,miss,miss,miss,miss,BTC
75,2020-06-01,09.00 AM,hit,hit,hit,hit,hit,BTC
76,2020-06-02,5.15 AM,hit,hit,hit,hit,hit,ETH
77,2020-06-07,8.30 PM,hit,hit,miss,miss,miss,LTC
78,2020-06-11,8.30 AM,hit,hit,hit,hit,hit,LTC
79,2020-06-11,11.30 AM,hit,hit,hit,hit,hit,BTC
80,2020-06-17,2.30 PM,hit,hit,hit,hit,hit,LTC
81,2020-06-19,02.45 AM,miss,miss,miss,miss,miss,BTC
82,2020-06-19,01.15 PM,hit,hit,hit,hit,hit,BTC
83,2020-06-19,1.30 PM,hit,miss,miss,miss,miss,BTC
84,2020-06-22,7.30 PM,miss,miss,miss,miss,miss,LTC
85,2020-07-05,10.30 AM,miss,miss,miss,miss,miss,LTC
86,2020-07-11,6.15 AM,hit,hit,miss,miss,miss,ETH
87,2020-07-12,4.30 PM,miss,miss,miss,miss,miss,LTC
88,2020-07-15,05.45 PM,miss,miss,miss,miss,miss,BTC
89,2020-07-17,06.45 PM,miss,miss,miss,miss,miss,BTC
90,2020-07-19,12.30 AM,hit,hit,hit,hit,miss,LTC
91,2020-07-19,12.00 PM,miss,miss,miss,miss,miss,ETH
92,2020-07-21,2.30 AM,hit,hit,hit,hit,hit,LTC
93,2020-07-25,02.45 AM,hit,hit,miss,miss,miss,BTC
94,2020-07-30,5.45 AM,hit,hit,hit,hit,miss,ETH
95,2020-08-01,3.30 PM,miss,miss,miss,miss,miss,BTC
96,2020-08-22,11.30 AM,hit,hit,miss,miss,miss,BTC
97,2020-08-23,05.30 AM,hit,hit,hit,hit,hit,BTC
98,2020-08-23,06.15 PM,hit,hit,hit,hit,hit,BTC
99,2020-08-24,10.30 AM,miss,miss,miss,miss,miss,LTC
100,2020-08-25,5.30 AM,hit,hit,hit,hit,hit,BTC
101,2020-08-30,1.30 PM,miss,miss,miss,miss,miss,LTC
102,2020-08-31,02.45 PM,hit,hit,hit,hit,hit,BTC
103,2020-09-01,07.15 AM,hit,hit,hit,hit,hit,BTC
104,2020-09-02,09.30 AM,miss,miss,miss,miss,miss,BTC
105,2020-09-05,06.30 PM,miss,miss,miss,miss,miss,BTC
106,2020-09-07,6.45 AM,hit,hit,hit,hit,hit,ETH
107,2020-09-13,2.30 PM,hit,hit,hit,hit,hit,BTC
108,2020-09-17,4.30 AM,hit,miss,miss,miss,miss,BTC
109,2020-09-19,11.30 PM,hit,hit,hit,hit,hit,BTC
110,2020-09-21,10.30 AM,hit,hit,hit,hit,hit,BTC
111,2020-09-24,05.30 PM,miss,miss,miss,miss,miss,BTC
112,2020-09-27,7.00 AM,hit,hit,hit,miss,miss,ETH
113,2020-09-27,10.30 AM,hit,hit,hit,hit,hit,BTC
114,2020-10-01,9.30 PM,miss,miss,miss,miss,miss,BTC
115,2020-10-05,8.30 AM,miss,miss,miss,miss,miss,BTC
116,2020-10-06,05.00 PM,miss,miss,miss,miss,miss,BTC
117,2020-10-08,03.30 AM,hit,hit,hit,hit,hit,BTC
118,2020-10-08,11.30 PM,miss,miss,miss,miss,miss,LTC
119,2020-10-16,2.30 PM,miss,miss,miss,miss,miss,BTC
120,2020-10-23,02.15 AM,hit,hit,hit,hit,miss,BTC
121,2020-10-23,11.30 PM,hit,hit,hit,hit,hit,BTC
122,2020-11-01,4.30 AM,hit,hit,hit,hit,hit,LTC
123,2020-11-02,7.30 PM,hit,hit,hit,hit,hit,BTC
124,2020-11-07,10.00 PM,miss,miss,miss,miss,miss,ETH
125,2020-11-07,10.00 PM,miss,miss,miss,miss,miss,BTC
126,2020-11-09,10.30 PM,hit,hit,hit,hit,hit,LTC
127,2020-11-11,11.15 PM,hit,hit,hit,hit,miss,ETH
128,2020-11-16,2.30 PM,miss,miss,miss,miss,miss,ETH
129,2020-11-19,05.15 PM,hit,hit,hit,hit,hit,BTC
130,2020-11-22,6.15 AM,hit,hit,hit,miss,miss,ETH
131,2020-11-25,11.15 AM,hit,hit,hit,hit,miss,BTC
132,2020-11-27,6.00 PM,miss,miss,miss,miss,miss,ETH
133,2020-11-28,06.00 PM,miss,miss,miss,miss,miss,BTC
134,2020-12-04,1130 AM,miss,miss,miss,miss,miss,ETH
135,2020-12-05,06.45 PM,miss,miss,miss,miss,miss,BTC
136,2020-12-06,04.00 PM,miss,miss,miss,miss,miss,BTC
137,2020-12-06,5.15 PM,miss,miss,miss,miss,miss,ETH
138,2020-12-07,5.30 AM,hit,hit,hit,hit,hit,ETH
139,2020-12-07,10.30 PM,hit,hit,hit,hit,hit,LTC
140,2020-12-08,6.30 PM,miss,miss,miss,miss,miss,BTC
